component,file_name,required,imported,sha256,source_path,license,notes
core,COMMAND.COM,yes,yes,93ed257d3aa2454821aa305b731544550dcccff898865b590deb972c47b48610,https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/repositories/1.3/base/freecom.zip,GPL-2.0-or-later,fallback-from-freecom-zip:ec6c63f13be0b254151c76cbbbec3c80ae33741b
core,KERNEL.SYS,yes,no,,,GPL-2.0-or-later?,missing
core,FDCONFIG.SYS,yes,no,,,GPL-2.0-or-later?,missing
core,FDAUTO.BAT,yes,no,,,GPL-2.0-or-later?,missing
memory,HIMEMX.EXE,no,no,,,GPL-2.0-or-later?,missing
memory,JEMM386.EXE,no,no,,,GPL-2.0-or-later?,missing
utils,MEM.EXE,no,no,,,GPL-2.0-or-later?,missing
utils,MODE.COM,no,no,,,GPL-2.0-or-later?,missing
utils,XCOPY.EXE,no,no,,,GPL-2.0-or-later?,missing
source,freecom.git,no,yes,ec6c63f13be0b254151c76cbbbec3c80ae33741b,https://github.com/FDOS/freecom.git,GPL-2.0-or-later?,repo-synced
opengem,GEM.BAT,no,yes,13ec0a22d4a8c62fcfc826ec38329a374e4dc2347bf826f4696909be67b83a85,https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/repositories/1.3/gui/opengem.zip,GPL-2.0,launch-entry
opengem,GEMAPPS/2048.APP,no,yes,4173762277d8eb25c24b42d9c405a65030720a4be51692104d74496dc835ecb3,https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/repositories/1.3/gui/opengem.zip,GPL-2.0,imported
opengem,GEMAPPS/EDICON.APP,no,yes,46a15b3151267784843d46b2a3aae4d08d41eac994df7e525abd6a9d39eccf6b,https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/repositories/1.3/gui/opengem.zip,GPL-2.0,imported
opengem,GEMAPPS/GEMSYS/CHOICE.EXE,no,yes,5c8e199e6ffc17827efbab9d9a2140569baa9c27429bc3d4238e072bdbe5e700,https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/repositories/1.3/gui/opengem.zip,GPL-2.0,imported
opengem,GEMAPPS/GEMSYS/CTMOUSE.EXE,no,yes,822cf550c9e19a22785722d2306aa08ede10ff20bfe931d5a81a15f77c5f363e,https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/repositories/1.3/gui/opengem.zip,GPL-2.0,imported
opengem,GEMAPPS/GEMSYS/DESKTOP.APP,no,yes,b528c61e7842b4020e4440eb0f2301f89327c24091c619da16f2489ab08bb262,https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/repositories/1.3/gui/opengem.zip,GPL-2.0,imported
